datetime	open	high	low	close	volume
05.07.2024 00:00	199.95000000000002	199.95000000000002	191.45000000000002	198.95000000000002	4829091
08.07.2024 00:00	199.55	199.95000000000002	190.05	190.55	1506514
09.07.2024 00:00	190.55	191.65	176.10000000000002	185.95000000000002	1000101
10.07.2024 00:00	186.95000000000002	192.70000000000002	178.95000000000002	187.95000000000002	532225
11.07.2024 00:00	187.95000000000002	190.85000000000002	181.05	190.45000000000002	646072
12.07.2024 00:00	190.45000000000002	199.70000000000002	184.95000000000002	197.95000000000002	575494
15.07.2024 00:00	197.95000000000002	198.95000000000002	187.95000000000002	192.15	336624
16.07.2024 00:00	192.05	192.05	183.95000000000002	186.35000000000002	320671
17.07.2024 00:00	186.35000000000002	193.10000000000002	185.10000000000002	188.55	191180
18.07.2024 00:00	188.55	190.85000000000002	182.95000000000002	190.8	247493
19.07.2024 00:00	190.8	190.8	187.15	187.15	178145
22.07.2024 00:00	186.95000000000002	190.10000000000002	184.05	188.20000000000002	191466
23.07.2024 00:00	187.60000000000002	188.95000000000002	183.65	183.95000000000002	172436
24.07.2024 00:00	184.05	185.95000000000002	180.45000000000002	181.60000000000002	341118
25.07.2024 00:00	181.55	184.95000000000002	181.4	183.9	130655
26.07.2024 00:00	184.05	185.20000000000002	179.05	180.55	130788
29.07.2024 00:00	180.4	180.55	174.35000000000002	174.65	240455
30.07.2024 00:00	174.8	176.55	167.05	175.9	301094
31.07.2024 00:00	175.85000000000002	179.9	174.20000000000002	177.85000000000002	119967
01.08.2024 00:00	177.85000000000002	180.3	175.95000000000002	179.3	160656
02.08.2024 00:00	178.4	179.95000000000002	175.20000000000002	179.8	173737
05.08.2024 00:00	174.95000000000002	179.3	170.15	175.3	164935
06.08.2024 00:00	175.35000000000002	178.8	170.70000000000002	171.55	150897
07.08.2024 00:00	173.35000000000002	174.55	165.05	169.05	476059
08.08.2024 00:00	170.9	171.10000000000002	167.60000000000002	170.05	118874
09.08.2024 00:00	169.65	172.55	167.70000000000002	170.95000000000002	84589
12.08.2024 00:00	170.95000000000002	179.55	167.95000000000002	177.4	169631
13.08.2024 00:00	177.4	178.95000000000002	175.20000000000002	176.05	67142
14.08.2024 00:00	176.8	178.8	173.35000000000002	174.15	36298
15.08.2024 00:00	172.8	177.15	170.70000000000002	174.8	121420
16.08.2024 00:00	174.8	178.55	173.05	174.35000000000002	84235
19.08.2024 00:00	174.35000000000002	178.9	160.95000000000002	164.70000000000002	396300
20.08.2024 00:00	164.70000000000002	165.20000000000002	156.95000000000002	157.65	326670
21.08.2024 00:00	157.65	159.20000000000002	153.1	154.9	300184
22.08.2024 00:00	154.95000000000002	164.9	154.95000000000002	157.05	245877
23.08.2024 00:00	159.70000000000002	162.95000000000002	154.95000000000002	160.4	120719
26.08.2024 00:00	160.4	167.05	160.4	166.20000000000002	94120
27.08.2024 00:00	166.3	169.95000000000002	160.15	164.05	232447
28.08.2024 00:00	162.8	168.60000000000002	161.60000000000002	167.8	64354
29.08.2024 00:00	165.05	167.3	162.55	164.85000000000002	53727
30.08.2024 00:00	165.3	166.3	149.95000000000002	153.3	358934
02.09.2024 00:00	151.8	151.95000000000002	140.55	143.6	239307
03.09.2024 00:00	145.95000000000002	147.70000000000002	134.95000000000002	137.45000000000002	713862
04.09.2024 00:00	137.55	142.85	136.95000000000002	141.95000000000002	174870
05.09.2024 00:00	141.95000000000002	148.05	138.05	139.95000000000002	423087
06.09.2024 00:00	139.95000000000002	146.20000000000002	136.6	137.65	168877
09.09.2024 00:00	139.05	140.45000000000002	136.6	137.8	191725
10.09.2024 00:00	137.8	139.55	134.1	134.65	192148
11.09.2024 00:00	134.65	135.20000000000002	130.05	131.55	194707
12.09.2024 00:00	130.45000000000002	130.65	123.60000000000001	124.55000000000001	376908
13.09.2024 00:00	125.05000000000001	128.95000000000002	117.95	121.4	604428
16.09.2024 00:00	121.5	124.10000000000001	119.4	120.45	1053973
17.09.2024 00:00	121.95	124.80000000000001	120.30000000000001	122.85000000000001	424250
18.09.2024 00:00	124.80000000000001	126.95	122.95	124.75	667440
19.09.2024 00:00	126.85000000000001	141.95000000000002	125.15	137.20000000000002	2044793
20.09.2024 00:00	136.20000000000002	139.55	133.95000000000002	137.6	400092
23.09.2024 00:00	137.8	140.95000000000002	133.15	135.05	424763
24.09.2024 00:00	134.8	135.05	128.35	130.20000000000002	798329
25.09.2024 00:00	130.4	132.20000000000002	127.0	127.7	240300
26.09.2024 00:00	127.75	131.55	125.45	127.95	270953
27.09.2024 00:00	128.3	129.8	126.95	127.85000000000001	120521
30.09.2024 00:00	131.4	131.45000000000002	127.85000000000001	128.9	164078
01.10.2024 00:00	129.9	129.95000000000002	122.85000000000001	123.85000000000001	410764
02.10.2024 00:00	124.45	126.75	120.60000000000001	120.95	196706
03.10.2024 00:00	121.05000000000001	127.95	119.95	125.05000000000001	341476
04.10.2024 00:00	125.10000000000001	126.7	121.9	124.10000000000001	179515
07.10.2024 00:00	124.10000000000001	125.0	120.95	121.85000000000001	151361
08.10.2024 00:00	121.85000000000001	122.9	119.55000000000001	120.45	226779
09.10.2024 00:00	121.55000000000001	121.80000000000001	118.55000000000001	118.85000000000001	201340
10.10.2024 00:00	119.65	120.4	118.9	119.7	107580
11.10.2024 00:00	119.95	120.7	114.35000000000001	115.95	198046
14.10.2024 00:00	116.95	119.65	116.05000000000001	119.25	224385
15.10.2024 00:00	119.45	120.2	116.7	119.0	216620
16.10.2024 00:00	119.05000000000001	120.80000000000001	118.0	118.85000000000001	209246
17.10.2024 00:00	118.05000000000001	119.5	115.95	116.65	278460
18.10.2024 00:00	116.80000000000001	117.10000000000001	113.60000000000001	116.10000000000001	378986
21.10.2024 00:00	117.10000000000001	118.95	114.9	117.0	143808
22.10.2024 00:00	117.0	117.80000000000001	114.95	115.25	126123
23.10.2024 00:00	115.4	116.2	113.05000000000001	114.2	141607
24.10.2024 00:00	114.2	114.65	112.7	113.2	234205
25.10.2024 00:00	112.85000000000001	113.65	104.45	106.10000000000001	521654
28.10.2024 00:00	105.80000000000001	105.80000000000001	97.65	100.95	776369
29.10.2024 00:00	102.05000000000001	104.25	99.9	102.5	308102
30.10.2024 00:00	104.5	107.45	101.05000000000001	102.9	439507
31.10.2024 00:00	102.9	102.95	99.5	99.65	304323
01.11.2024 00:00	99.45	100.4	96.25	97.45	704800
02.11.2024 00:00	97.45	98.65	92.05000000000001	93.55000000000001	493833
05.11.2024 00:00	94.15	95.5	92.65	93.95	380428
06.11.2024 00:00	94.5	97.95	94.2	95.45	388484
07.11.2024 00:00	95.55000000000001	96.4	92.5	93.95	247032
08.11.2024 00:00	95.4	95.4	93.30000000000001	93.9	190621
11.11.2024 00:00	95.45	100.5	95.45	98.95	727607
12.11.2024 00:00	99.30000000000001	100.45	96.55000000000001	97.4	368031
13.11.2024 00:00	96.95	98.65	96.15	96.80000000000001	318798
14.11.2024 00:00	96.9	96.95	94.75	95.0	194952
15.11.2024 00:00	95.2	95.95	94.4	95.55000000000001	131400
